Postal Code,Place Name,State,County,Latitude,Longitude
97300,Cayenne,Guyane,Arrondissement de Cayenne,4.9333,-52.3333
97310,Kourou,Guyane,Arrondissement de Cayenne,5.15,-52.65
97311,Roura,Guyane,Arrondissement de Cayenne,4.7333,-52.3333
97312,Saint-Élie,Guyane,Arrondissement de Cayenne,4.8333,-53.2833
97313,Saint-Georges-de-l'Oyapock,Guyane,Arrondissement de Cayenne,3.9,-51.8
97314,Saül,Guyane,Arrondissement de Saint-Laurent-du-Maroni,3.6167,-53.2
97315,Sinnamary,Guyane,Arrondissement de Cayenne,5.3833,-52.95
97316,Papaïchton,Guyane,Arrondissement de Saint-Laurent-du-Maroni,3.8,-54.1667
97317,Apatou,Guyane,Arrondissement de Saint-Laurent-du-Maroni,5.15,-54.3333
97318,Mana,Guyane,Arrondissement de Saint-Laurent-du-Maroni,5.6667,-53.7833
97319,Awala-Yalimapo,Guyane,Arrondissement de Saint-Laurent-du-Maroni,5.7333,-53.9
97320,Saint-Laurent-du-Maroni,Guyane,Arrondissement de Saint-Laurent-du-Maroni,5.5,-54.0333
97330,Camopi,Guyane,Arrondissement de Cayenne,3.1667,-52.35
97340,Grand-Santi,Guyane,Arrondissement de Saint-Laurent-du-Maroni,4.25,-54.3833
97350,Iracoubo,Guyane,Arrondissement de Cayenne,5.4833,-53.2167
97351,Matoury,Guyane,Arrondissement de Cayenne,4.85,-52.3333
97352,Roura,Guyane,Arrondissement de Cayenne,4.7333,-52.3333
97353,Régina,Guyane,Arrondissement de Cayenne,4.3167,-52.1333
97354,Rémire-Montjoly,Guyane,Arrondissement de Cayenne,4.9167,-52.2667
97355,Macouria,Guyane,Arrondissement de Cayenne,5.0167,-52.4833
97356,Montsinéry-Tonnegrande,Guyane,Arrondissement de Cayenne,4.9,-52.5
97360,Mana,Guyane,Arrondissement de Saint-Laurent-du-Maroni,5.6667,-53.7833
97370,Maripasoula,Guyane,Arrondissement de Saint-Laurent-du-Maroni,3.6333,-54.0333
97380,Ouanary,Guyane,Arrondissement de Cayenne,4.2167,-51.6667
97390,Régina,Guyane,Arrondissement de Cayenne,4.3167,-52.1333
